customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment,customer_name,gender,age,city,province,signup_date,signup_channel,is_churned,age_group,churn_probability
18,9,1,1680.0,5,1,1,511,New Customers,Raza Farooq,Female,24,Karachi,Sindh,2026-05-13,Google Ads,0,18-25 (Gen Z),0.08494691780050716
20,31,1,3400.0,4,1,2,412,New Customers,Omer Dar,Male,26,Rawalpindi,Punjab,2025-08-03,Facebook Ads,0,26-35 (Young Millennials),0.09094086418285661
21,456,1,5704.0,1,1,2,112,Hibernating,Faisal Shah,Female,38,Rawalpindi,Punjab,2025-02-09,Facebook Ads,1,36-50 (Older Millennials),0.9531178360055143
22,134,1,350.0,3,1,1,311,Promising / Warm,Raza Gill,Male,37,Lahore,Punjab,2024-09-09,Facebook Ads,1,36-50 (Older Millennials),0.9305110264594909
23,263,2,19791.0,2,3,3,233,At Risk / Slipping,Hina Farooq,Female,32,Karachi,Sindh,2025-08-20,Facebook Ads,1,26-35 (Young Millennials),0.8907394225167709
24,76,10,269975.0,4,5,5,455,Champions,Kiran Mughal,Male,37,Karachi,Sindh,2025-06-05,Facebook Ads,0,36-50 (Older Millennials),0.0059409067520764846
25,247,1,129726.0,2,1,4,214,Hibernating,Saad Ali,Male,36,Multan,Punjab,2024-06-05,Google Ads,1,36-50 (Older Millennials),0.951439835631908
26,95,1,1700.0,3,1,1,311,Promising / Warm,Raza Butt,Female,40,Karachi,Sindh,2025-09-02,Organic,1,36-50 (Older Millennials),0.9553732788671898
27,86,3,369492.0,3,4,5,345,Loyal Customers,Ali Dar,Female,32,Rawalpindi,Punjab,2025-06-25,Google Ads,0,26-35 (Young Millennials),0.020606700124676882
28,84,1,5570.0,3,1,2,312,Promising / Warm,Bilal Farooq,Male,42,Lahore,Punjab,2025-11-27,Google Ads,0,36-50 (Older Millennials),0.04844702813444835
29,49,1,480.0,4,1,1,411,New Customers,Hina Sheikh,Female,30,Karachi,Sindh,2026-02-26,Google Ads,0,26-35 (Young Millennials),0.08130160085665489
30,3,12,630525.5,5,5,5,555,Champions,Raza Shah,Female,27,Multan,Punjab,2024-06-10,Facebook Ads,0,26-35 (Young Millennials),0.00343218437246574
31,105,3,155828.0,3,4,4,344,Loyal Customers,Zahra Khan,Female,41,Karachi,Sindh,2025-05-27,Facebook Ads,1,36-50 (Older Millennials),0.9055628081234813
32,148,1,1350.0,3,1,1,311,Promising / Warm,Amna Butt,Male,25,Karachi,Sindh,2025-10-02,Facebook Ads,1,18-25 (Gen Z),0.947344733765205
33,437,1,27160.5,1,1,3,113,Hibernating,Usman Jatoi,Male,37,Rawalpindi,Punjab,2025-01-17,Facebook Ads,1,36-50 (Older Millennials),0.9538445258213162
34,67,1,24731.0,4,1,3,413,New Customers,Amna Butt,Male,32,Multan,Punjab,2025-09-05,Google Ads,0,26-35 (Young Millennials),0.055522135491462205
35,326,1,315.0,2,1,1,211,Hibernating,Omer Cheema,Other,24,Karachi,Sindh,2025-01-06,Google Ads,1,18-25 (Gen Z),0.9513443720529914
36,455,1,36864.5,1,1,3,113,Hibernating,Usman Iqbal,Male,27,Rawalpindi,Punjab,2024-03-28,Direct,1,26-35 (Young Millennials),0.9495598609548856
37,375,1,30310.0,2,1,3,213,Hibernating,Hina Cheema,Male,30,Lahore,Punjab,2024-05-11,Facebook Ads,0,26-35 (Young Millennials),0.7218779959282027
39,14,11,396042.5,5,5,5,555,Champions,Tariq Hashmi,Male,28,Lahore,Punjab,2025-07-06,Organic,0,26-35 (Young Millennials),0.003595050266643339
40,62,1,16487.0,4,1,2,412,New Customers,Amna Raza,Female,33,Lahore,Punjab,2025-11-18,Referral,0,26-35 (Young Millennials),0.06902281537686047
42,263,1,2895.5,2,1,2,212,Hibernating,Sana Iqbal,Male,29,Lahore,Punjab,2025-08-25,Google Ads,1,26-35 (Young Millennials),0.955106847161945
43,16,3,134088.5,5,4,4,544,Champions,Hassan Iqbal,Male,28,Karachi,Sindh,2024-03-13,Google Ads,0,26-35 (Young Millennials),0.052475448840848406
44,0,1,6210.0,5,1,2,512,New Customers,Faisal Ahmed,Male,32,Sialkot,Punjab,2026-05-30,Facebook Ads,0,26-35 (Young Millennials),0.07580657898142604
45,1,6,184857.0,5,5,5,555,Champions,Omer Ali,Female,39,Karachi,Sindh,2025-11-16,Organic,0,36-50 (Older Millennials),0.021411512661398274
46,292,1,47106.0,2,1,3,213,Hibernating,Saad Raza,Female,36,Lahore,Punjab,2024-09-05,TikTok Ads,1,36-50 (Older Millennials),0.9625076106408136
47,8,3,48123.0,5,4,3,543,Loyal Customers,Saad Qureshi,Male,34,Karachi,Sindh,2025-11-05,Organic,0,26-35 (Young Millennials),0.056779928524567216
48,98,1,1017.0,3,1,1,311,Promising / Warm,Mariam Mughal,Female,47,Karachi,Sindh,2026-01-16,Facebook Ads,1,36-50 (Older Millennials),0.9345436380810791
50,304,1,270.0,2,1,1,211,Hibernating,Zain Iqbal,Female,25,Lahore,Punjab,2024-05-23,Facebook Ads,1,18-25 (Gen Z),0.9442102119805957
51,799,1,2277.0,1,1,2,112,Hibernating,Mariam Butt,Male,21,Islamabad,Islamabad Capital Territory,2024-03-18,Google Ads,1,18-25 (Gen Z),0.9389105292565185
52,446,1,60040.0,1,1,3,113,Hibernating,Zahra Farooq,Male,33,Peshawar,KPK,2024-04-05,Facebook Ads,1,26-35 (Young Millennials),0.9417686694348416
53,351,1,25335.0,2,1,3,213,Hibernating,Amna Iqbal,Female,23,Peshawar,KPK,2025-05-07,Direct,1,18-25 (Gen Z),0.9516101721690738
54,276,1,95894.0,2,1,4,214,Hibernating,Ayesha Dar,Male,27,Karachi,Sindh,2025-01-23,TikTok Ads,1,26-35 (Young Millennials),0.9442748276973846
55,81,4,296978.5,3,4,5,345,Loyal Customers,Muhammad Dar,Female,31,Lahore,Punjab,2024-10-19,Facebook Ads,0,26-35 (Young Millennials),0.00844419974075841
56,182,7,470816.0,2,5,5,255,At Risk / Slipping,Mariam Farooq,Female,40,Karachi,Sindh,2024-06-07,Direct,1,36-50 (Older Millennials),0.699670334077439
57,41,3,35821.5,4,4,3,443,Loyal Customers,Ayesha Abbasi,Male,32,Karachi,Sindh,2025-08-16,Facebook Ads,0,26-35 (Young Millennials),0.053567348052781
59,411,1,4080.0,2,1,2,212,Hibernating,Ahmed Baig,Male,32,Lahore,Punjab,2024-02-28,Facebook Ads,1,26-35 (Young Millennials),0.9521579098522901
60,148,2,2810.0,3,3,2,332,Lost / Inactive,Tariq Ali,Male,32,Karachi,Sindh,2025-09-01,Direct,1,26-35 (Young Millennials),0.9055435462557244
61,48,2,115208.0,4,3,4,434,Loyal Customers,Ali Iqbal,Male,32,Karachi,Sindh,2025-08-15,Facebook Ads,0,26-35 (Young Millennials),0.05207459378605574
62,22,1,113192.5,5,1,4,514,New Customers,Nida Ahmed,Female,24,Lahore,Punjab,2025-11-04,TikTok Ads,0,18-25 (Gen Z),0.05607054512146437
63,211,1,41801.5,2,1,3,213,Hibernating,Sara Baig,Female,20,Islamabad,Islamabad Capital Territory,2024-07-28,Facebook Ads,1,18-25 (Gen Z),0.954671486086851
64,43,11,185793.5,4,5,5,455,Champions,Yasmin Shah,Female,35,Karachi,Sindh,2024-05-14,Organic,0,26-35 (Young Millennials),0.007424283756212978
65,685,1,2862.0,1,1,2,112,Hibernating,Yasmin Abbasi,Male,37,Islamabad,Islamabad Capital Territory,2024-01-10,TikTok Ads,1,36-50 (Older Millennials),0.9528079265158591
66,533,1,9093.0,1,1,2,112,Hibernating,Zahra Hashmi,Male,33,Karachi,Sindh,2024-03-16,Google Ads,1,26-35 (Young Millennials),0.9482839372142569
67,298,1,590.0,2,1,1,211,Hibernating,Hassan Raza,Male,22,Quetta,Balochistan,2024-12-23,Google Ads,1,18-25 (Gen Z),0.9588982368614206
68,78,3,78149.5,3,4,4,344,Loyal Customers,Ali Iqbal,Male,23,Multan,Punjab,2025-03-24,TikTok Ads,0,18-25 (Gen Z),0.05641231828894182
69,90,1,113582.0,3,1,4,314,Promising / Warm,Hassan Abbasi,Male,30,Lahore,Punjab,2025-11-14,Google Ads,0,26-35 (Young Millennials),0.06823881707556938
70,17,5,219439.5,5,5,5,555,Champions,Hassan Abbasi,Male,41,Karachi,Sindh,2024-05-17,Organic,0,36-50 (Older Millennials),0.03594139708867658
71,433,2,127078.0,1,3,4,134,At Risk / Slipping,Bilal Sheikh,Male,21,Peshawar,KPK,2024-10-05,Referral,0,18-25 (Gen Z),0.6344458000188983
72,241,1,2690.0,2,1,2,212,Hibernating,Usman Hashmi,Female,33,Multan,Punjab,2024-07-27,Google Ads,1,26-35 (Young Millennials),0.963570600967514
74,575,1,124959.5,1,1,4,114,Hibernating,Ahmed Ali,Female,29,Karachi,Sindh,2024-02-15,Google Ads,1,26-35 (Young Millennials),0.9428648050666335
75,429,1,110370.0,1,1,4,114,Hibernating,Muhammad Shah,Female,26,Karachi,Sindh,2024-06-14,TikTok Ads,1,26-35 (Young Millennials),0.8083148873779205
76,142,1,12958.0,3,1,2,312,Promising / Warm,Hina Gill,Female,36,Peshawar,KPK,2025-07-28,TikTok Ads,1,36-50 (Older Millennials),0.9588317577121229
77,115,1,3120.0,3,1,2,312,Promising / Warm,Muhammad Sheikh,Male,22,Lahore,Punjab,2025-07-12,Referral,1,18-25 (Gen Z),0.9539839803494086
78,74,10,300796.0,4,5,5,455,Champions,Ahmed Mughal,Male,31,Karachi,Sindh,2025-03-16,Google Ads,0,26-35 (Young Millennials),0.0074942502975353445
79,486,1,3002.0,1,1,2,112,Hibernating,Hamza Ahmed,Male,32,Islamabad,Islamabad Capital Territory,2025-01-01,Organic,1,26-35 (Young Millennials),0.9615093451733506
80,32,1,4734.5,4,1,2,412,New Customers,Ayesha Iqbal,Female,34,Lahore,Punjab,2026-03-09,Facebook Ads,0,26-35 (Young Millennials),0.07290934584063954
81,584,1,69975.0,1,1,4,114,Hibernating,Hassan Qureshi,Male,34,Faisalabad,Punjab,2024-08-30,Direct,1,26-35 (Young Millennials),0.939211630008215
83,0,11,340209.0,5,5,5,555,Champions,Hina Shah,Female,34,Islamabad,Islamabad Capital Territory,2026-04-01,Organic,0,26-35 (Young Millennials),0.0019071094073717999
84,9,5,400778.5,5,5,5,555,Champions,Yasmin Iqbal,Male,39,Multan,Punjab,2025-01-26,Facebook Ads,0,36-50 (Older Millennials),0.05110680539218338
85,12,6,170166.5,5,5,5,555,Champions,Ahmed Cheema,Female,23,Lahore,Punjab,2024-12-24,Facebook Ads,0,18-25 (Gen Z),0.03251079636606163
86,110,4,495102.0,3,4,5,345,Loyal Customers,Usman Iqbal,Male,28,Lahore,Punjab,2025-02-12,Google Ads,0,26-35 (Young Millennials),0.38262033236714577
87,6,13,699743.5,5,5,5,555,Champions,Omer Siddiqui,Female,35,Karachi,Sindh,2024-12-25,Facebook Ads,0,26-35 (Young Millennials),0.0022824612850955942
88,89,7,442906.5,3,5,5,355,Loyal Customers,Raza Jatoi,Female,18,Rawalpindi,Punjab,2024-01-29,Google Ads,0,18-25 (Gen Z),0.024098154810467523
89,610,1,45040.0,1,1,3,113,Hibernating,Zain Siddiqui,Female,30,Rawalpindi,Punjab,2024-02-09,Facebook Ads,1,26-35 (Young Millennials),0.9464496934452988
90,65,7,60121.0,4,5,3,453,Loyal Customers,Zain Hashmi,Female,21,Lahore,Punjab,2025-03-22,Facebook Ads,0,18-25 (Gen Z),0.037846128157276185
91,293,2,5021.0,2,3,2,232,At Risk / Slipping,Nida Jatoi,Male,30,Lahore,Punjab,2024-09-17,TikTok Ads,1,26-35 (Young Millennials),0.9054715234274837
92,6,8,383023.0,5,5,5,555,Champions,Ahmed Qureshi,Other,24,Islamabad,Islamabad Capital Territory,2026-04-05,Referral,0,18-25 (Gen Z),0.01547477848183867
93,64,9,341262.0,4,5,5,455,Champions,Hassan Raza,Male,18,Rawalpindi,Punjab,2025-11-11,Facebook Ads,0,18-25 (Gen Z),0.019689894975618145
95,198,1,29735.0,2,1,3,213,Hibernating,Usman Jatoi,Female,34,Lahore,Punjab,2024-11-30,Facebook Ads,1,26-35 (Young Millennials),0.9585822502642166
96,82,1,2690.0,3,1,2,312,Promising / Warm,Kiran Abbasi,Male,36,Karachi,Sindh,2025-03-06,Facebook Ads,0,36-50 (Older Millennials),0.05847794639763976
97,63,6,154682.0,4,5,4,454,Champions,Yasmin Dar,Male,44,Islamabad,Islamabad Capital Territory,2025-09-22,Facebook Ads,0,36-50 (Older Millennials),0.030015800287056974
98,184,1,4807.0,2,1,2,212,Hibernating,Sara Abbasi,Male,33,Peshawar,KPK,2024-11-07,Organic,1,26-35 (Young Millennials),0.960573911173887
99,8,2,5931.0,5,3,2,532,Lost / Inactive,Usman Raza,Female,46,Lahore,Punjab,2025-04-21,Facebook Ads,0,36-50 (Older Millennials),0.036957320237717035
100,11,2,105615.0,5,3,4,534,Loyal Customers,Zahra Gill,Female,38,Lahore,Punjab,2026-03-23,Organic,0,36-50 (Older Millennials),0.036091197412324
101,159,1,29556.0,3,1,3,313,Promising / Warm,Hina Butt,Female,33,Lahore,Punjab,2025-06-11,Facebook Ads,1,26-35 (Young Millennials),0.9448824172803565
102,169,1,28150.0,3,1,3,313,Promising / Warm,Yasmin Hashmi,Male,36,Lahore,Punjab,2025-11-19,Google Ads,1,36-50 (Older Millennials),0.9563912060238335
103,410,2,117721.5,2,3,4,234,At Risk / Slipping,Usman Iqbal,Male,27,Lahore,Punjab,2024-01-26,TikTok Ads,1,26-35 (Young Millennials),0.9261197644508293
104,178,1,117666.0,2,1,4,214,Hibernating,Ahmed Iqbal,Male,20,Lahore,Punjab,2025-04-11,Facebook Ads,1,18-25 (Gen Z),0.9455922423287706
105,111,1,35490.0,3,1,3,313,Promising / Warm,Mariam Baig,Female,41,Lahore,Punjab,2025-05-21,Direct,1,36-50 (Older Millennials),0.8021412715078883
106,22,2,34946.5,5,3,3,533,Loyal Customers,Kiran Iqbal,Male,18,Islamabad,Islamabad Capital Territory,2026-02-07,Facebook Ads,0,18-25 (Gen Z),0.047293839834467485
108,1,10,372060.0,5,5,5,555,Champions,Faisal Jatoi,Male,25,Peshawar,KPK,2026-05-18,TikTok Ads,0,18-25 (Gen Z),0.0050535369238315815
109,13,2,88901.5,5,3,4,534,Loyal Customers,Zain Gill,Female,42,Lahore,Punjab,2025-11-14,Google Ads,0,36-50 (Older Millennials),0.03417751559712332
110,66,3,19742.5,4,4,3,443,Loyal Customers,Tariq Farooq,Female,20,Peshawar,KPK,2025-09-19,Google Ads,0,18-25 (Gen Z),0.044361738879750874
111,488,2,187460.0,1,3,5,135,At Risk / Slipping,Hina Jatoi,Female,32,Karachi,Sindh,2024-06-11,Facebook Ads,1,26-35 (Young Millennials),0.8293888000146006
112,13,2,7139.0,5,3,2,532,Lost / Inactive,Hina Cheema,Male,25,Faisalabad,Punjab,2026-05-10,Facebook Ads,0,18-25 (Gen Z),0.05375747982734372
115,325,2,343311.5,2,3,5,235,At Risk / Slipping,Bilal Shah,Male,36,Karachi,Sindh,2024-05-21,Facebook Ads,1,36-50 (Older Millennials),0.9546184454986019
116,77,1,1215.0,4,1,1,411,New Customers,Hamza Iqbal,Male,35,Rawalpindi,Punjab,2025-12-24,Organic,0,26-35 (Young Millennials),0.06519864146849255
117,39,1,26605.0,4,1,3,413,New Customers,Ayesha Ali,Female,29,Lahore,Punjab,2025-07-09,Organic,0,26-35 (Young Millennials),0.07903062107681423
118,204,4,374891.0,2,4,5,245,At Risk / Slipping,Zahra Qureshi,Female,30,Karachi,Sindh,2025-02-02,Direct,1,26-35 (Young Millennials),0.7951805374844614
119,2,4,13105.0,5,4,2,542,Lost / Inactive,Amna Baig,Male,28,Rawalpindi,Punjab,2026-05-27,Organic,0,26-35 (Young Millennials),0.042499289350211716
120,48,2,189603.5,4,3,5,435,Loyal Customers,Amna Baig,Male,38,Karachi,Sindh,2024-12-26,Direct,0,36-50 (Older Millennials),0.049599093577033085
121,242,1,24500.5,2,1,3,213,Hibernating,Usman Dar,Female,40,Karachi,Sindh,2025-07-05,Direct,1,36-50 (Older Millennials),0.9538948048507285
122,210,1,13640.0,2,1,2,212,Hibernating,Hina Farooq,Male,30,Lahore,Punjab,2025-05-14,Facebook Ads,1,26-35 (Young Millennials),0.951904557912294
123,187,1,56631.0,2,1,3,213,Hibernating,Sana Siddiqui,Male,32,Peshawar,KPK,2025-02-02,TikTok Ads,1,26-35 (Young Millennials),0.9581805056706644
124,654,1,2440.0,1,1,2,112,Hibernating,Omer Dar,Female,28,Lahore,Punjab,2024-05-10,Google Ads,1,26-35 (Young Millennials),0.9533941285060255
125,301,1,32860.0,2,1,3,213,Hibernating,Nida Farooq,Other,21,Islamabad,Islamabad Capital Territory,2025-02-07,Organic,1,18-25 (Gen Z),0.9586376270395104
126,189,1,71610.0,2,1,4,214,Hibernating,Sara Baig,Male,20,Rawalpindi,Punjab,2025-10-20,Organic,1,18-25 (Gen Z),0.9530514948697533
127,35,14,317782.0,4,5,5,455,Champions,Mariam Malik,Male,29,Karachi,Sindh,2024-02-21,Google Ads,0,26-35 (Young Millennials),0.007881216877610361
128,345,1,27279.0,2,1,3,213,Hibernating,Bilal Dar,Female,22,Lahore,Punjab,2024-11-30,Direct,0,18-25 (Gen Z),0.8089353870891948
129,104,3,28137.5,3,4,3,343,Loyal Customers,Omer Dar,Female,23,Karachi,Sindh,2024-09-15,Organic,1,18-25 (Gen Z),0.9094326893215922
131,51,3,37977.0,4,4,3,443,Loyal Customers,Ahmed Mughal,Male,31,Karachi,Sindh,2026-03-10,Organic,0,26-35 (Young Millennials),0.04130713173551295
132,578,1,30310.0,1,1,3,113,Hibernating,Raza Ahmed,Male,25,Islamabad,Islamabad Capital Territory,2024-07-23,Facebook Ads,1,18-25 (Gen Z),0.9547581865771325
133,4,1,1292.0,5,1,1,511,New Customers,Muhammad Hashmi,Male,18,Rawalpindi,Punjab,2025-04-29,Direct,0,18-25 (Gen Z),0.07260655586114352
134,182,3,103010.0,2,4,4,244,At Risk / Slipping,Yasmin Sheikh,Male,18,Sialkot,Punjab,2025-04-21,Organic,1,18-25 (Gen Z),0.7618446982831023
135,74,3,30732.0,4,4,3,443,Loyal Customers,Faisal Siddiqui,Male,24,Rawalpindi,Punjab,2025-09-12,TikTok Ads,0,18-25 (Gen Z),0.03732941526224218
136,14,15,616707.0,5,5,5,555,Champions,Nida Sheikh,Male,28,Lahore,Punjab,2024-11-14,Direct,0,26-35 (Young Millennials),0.013213606654783126
137,87,3,176701.5,3,4,5,345,Loyal Customers,Zain Baig,Other,29,Karachi,Sindh,2024-11-15,Google Ads,0,26-35 (Young Millennials),0.06106157446321649
138,48,10,465283.0,4,5,5,455,Champions,Sara Dar,Male,21,Karachi,Sindh,2024-03-18,Facebook Ads,0,18-25 (Gen Z),0.014438652722423992
139,7,1,110714.5,5,1,4,514,New Customers,Sara Iqbal,Female,32,Islamabad,Islamabad Capital Territory,2026-05-20,TikTok Ads,0,26-35 (Young Millennials),0.03340677424582107
140,24,14,277112.0,5,5,5,555,Champions,Yasmin Hashmi,Male,23,Quetta,Balochistan,2024-12-21,Google Ads,0,18-25 (Gen Z),0.03802833849570089
141,73,2,64589.0,4,3,3,433,Loyal Customers,Hassan Qureshi,Male,35,Karachi,Sindh,2025-06-02,Referral,0,26-35 (Young Millennials),0.04954513520175593
142,18,1,2530.0,5,1,2,512,New Customers,Raza Shah,Other,26,Karachi,Sindh,2025-03-06,Referral,0,26-35 (Young Millennials),0.07703989297875871
143,191,1,2860.0,2,1,2,212,Hibernating,Saad Sheikh,Female,31,Karachi,Sindh,2025-10-12,TikTok Ads,1,26-35 (Young Millennials),0.9555944118231195
144,124,2,65675.0,3,3,3,333,Loyal Customers,Zahra Malik,Female,30,Quetta,Balochistan,2025-09-22,Google Ads,1,26-35 (Young Millennials),0.9525843541212944
145,430,1,2192.0,1,1,2,112,Hibernating,Hassan Cheema,Female,41,Lahore,Punjab,2024-11-26,TikTok Ads,1,36-50 (Older Millennials),0.9626058873304163
146,232,1,1943.0,2,1,1,211,Hibernating,Sana Ali,Female,37,Lahore,Punjab,2024-09-06,Direct,1,36-50 (Older Millennials),0.9593853148318199
147,274,1,32632.0,2,1,3,213,Hibernating,Amna Gill,Female,47,Karachi,Sindh,2024-12-10,Facebook Ads,1,36-50 (Older Millennials),0.9551893952751505
148,198,1,1292.0,2,1,1,211,Hibernating,Muhammad Cheema,Male,23,Lahore,Punjab,2025-05-14,Google Ads,1,18-25 (Gen Z),0.9523162749258425
149,275,6,137489.5,2,5,4,254,At Risk / Slipping,Ayesha Mughal,Female,23,Quetta,Balochistan,2024-10-13,Referral,1,18-25 (Gen Z),0.7371636212662805
150,460,1,13640.0,1,1,2,112,Hibernating,Nida Siddiqui,Male,31,Islamabad,Islamabad Capital Territory,2024-03-28,Google Ads,1,26-35 (Young Millennials),0.9582750225687501
151,142,1,510.0,3,1,1,311,Promising / Warm,Sana Qureshi,Male,37,Islamabad,Islamabad Capital Territory,2025-12-08,Facebook Ads,1,36-50 (Older Millennials),0.9437422350052244
152,386,1,27890.0,2,1,3,213,Hibernating,Saad Cheema,Male,25,Multan,Punjab,2024-04-05,Organic,1,18-25 (Gen Z),0.9534116041936569
153,179,1,58360.0,2,1,3,213,Hibernating,Usman Iqbal,Male,19,Peshawar,KPK,2024-11-09,Direct,1,18-25 (Gen Z),0.9451387923227267
154,162,1,37140.0,3,1,3,313,Promising / Warm,Yasmin Baig,Female,44,Karachi,Sindh,2025-03-11,Facebook Ads,1,36-50 (Older Millennials),0.9481989662733283
155,102,1,1282.5,3,1,1,311,Promising / Warm,Hina Farooq,Female,39,Sialkot,Punjab,2024-10-04,Facebook Ads,1,36-50 (Older Millennials),0.9548437941605399
156,93,15,399927.5,3,5,5,355,Loyal Customers,Usman Siddiqui,Male,26,Lahore,Punjab,2024-11-19,Google Ads,1,26-35 (Young Millennials),0.8331768756458895
157,134,1,3040.0,3,1,2,312,Promising / Warm,Zain Farooq,Male,29,Lahore,Punjab,2024-07-15,Facebook Ads,1,26-35 (Young Millennials),0.950127715057028
158,465,1,115850.0,1,1,4,114,Hibernating,Ayesha Cheema,Female,39,Karachi,Sindh,2024-04-12,Direct,1,36-50 (Older Millennials),0.9464471143623459
159,8,2,164896.5,5,3,4,534,Loyal Customers,Ayesha Abbasi,Male,30,Rawalpindi,Punjab,2024-11-05,Direct,0,26-35 (Young Millennials),0.05386136625984757
160,494,1,25790.0,1,1,3,113,Hibernating,Muhammad Farooq,Male,30,Faisalabad,Punjab,2024-02-25,Facebook Ads,1,26-35 (Young Millennials),0.951838629100022
161,77,1,46400.0,4,1,3,413,New Customers,Hassan Abbasi,Male,21,Peshawar,KPK,2025-10-15,TikTok Ads,0,18-25 (Gen Z),0.0551861656208967
162,59,4,77764.0,4,4,4,444,Champions,Amna Cheema,Male,28,Karachi,Sindh,2025-08-10,TikTok Ads,0,26-35 (Young Millennials),0.05554089514117032
163,94,13,525949.5,3,5,5,355,Loyal Customers,Usman Cheema,Female,18,Karachi,Sindh,2024-07-07,TikTok Ads,1,18-25 (Gen Z),0.6007428703248392
164,439,2,36019.0,1,3,3,133,At Risk / Slipping,Ahmed Siddiqui,Female,40,Lahore,Punjab,2024-04-26,Organic,1,36-50 (Older Millennials),0.9248034621852226
165,185,1,60620.0,2,1,3,213,Hibernating,Ali Dar,Male,39,Lahore,Punjab,2024-06-04,TikTok Ads,1,36-50 (Older Millennials),0.9024791838430015
166,133,3,75597.0,3,4,4,344,Loyal Customers,Hamza Baig,Male,30,Faisalabad,Punjab,2024-09-11,Google Ads,1,26-35 (Young Millennials),0.9150511025046222
167,8,1,25783.0,5,1,3,513,New Customers,Zain Farooq,Male,35,Islamabad,Islamabad Capital Territory,2026-03-05,Facebook Ads,0,26-35 (Young Millennials),0.05905147957583638
168,95,7,166262.5,3,5,4,354,Loyal Customers,Tariq Dar,Female,40,Karachi,Sindh,2024-10-31,Facebook Ads,1,36-50 (Older Millennials),0.8229474742286684
169,43,1,1520.0,4,1,1,411,New Customers,Sara Qureshi,Male,38,Lahore,Punjab,2025-09-16,Google Ads,0,36-50 (Older Millennials),0.08664977332147579
170,20,11,322157.5,5,5,5,555,Champions,Hina Sheikh,Male,18,Multan,Punjab,2025-10-02,Facebook Ads,0,18-25 (Gen Z),0.004327901546690241
171,518,3,68193.0,1,4,4,144,At Risk / Slipping,Ayesha Siddiqui,Male,42,Lahore,Punjab,2024-09-02,TikTok Ads,1,36-50 (Older Millennials),0.8936034362356078
173,105,1,6959.0,3,1,2,312,Promising / Warm,Zahra Hashmi,Male,18,Lahore,Punjab,2024-08-25,Referral,1,18-25 (Gen Z),0.9580426944174013
174,444,1,4080.0,1,1,2,112,Hibernating,Usman Abbasi,Female,29,Lahore,Punjab,2024-03-13,Facebook Ads,1,26-35 (Young Millennials),0.9516107349224515
